NAME           AVERAGE
Ali                 89.00
Sara                88.67
Ahmed               80.00
Zara                92.33
Usman               72.67
Ayesha              85.00
Bilal               66.67
Hina                95.33
Kamran              60.00
Laraib              87.33
Mohsin              77.00
Nadia               92.67
Omar                72.33
Pervaiz             86.00
Qasim               66.33
Rabia               97.00
Saad                61.00
Tahira              90.33
Uzair               78.33
Viqar               94.33
Waqar               74.33
Xahra               84.00
Yasir               67.00
Zohaib              98.00
Asma                62.00
Babar               91.33
Cyrus               79.00
Dania               96.00
Ehsan               74.00
Fahad               85.00
